key,turns,avg_elapsed_ms,p50_elapsed_ms,max_elapsed_ms,avg_tools,error_rate,avg_out_tokens,out_tps,avg_api_calls,cache_hit,tool_share,avg_hook_ms
total,21,215033.8125,141776,616921,7.8,0.0183,12472,76.12,6.2,0.9851,0.202,775
category:CONFIG,7,261422.33333333334,137378,593071,7.6,0.0566,16487,73.58,5.6,0.9851,0.096,938.4285714285714
category:INSTALL,6,155229.33333333334,168846,298317,9.5,0,6389,41.16,8.7,0.9792,0.478,1040.6666666666667
category:DOCS,4,50092,50092,50092,5.3,0,7417,592.29,3.3,0.9895,0.928,370.5
category:QUERY,2,136809,136809,164948,6.5,0,9127,66.71,6.5,0.9914,0.069,990
category:GIT,1,,,,5,0,4091,,5,0.9944,,0
category:REFACTOR,1,616921,616921,616921,15,0,56143,91.01,8,0.9827,0.039,0
hour:6,3,240911.33333333334,225287,298317,13,0,8397,34.85,11.3,0.9695,0.52,765.3333333333334
hour:7,3,69547.33333333333,62728,138562,6,0,4381,63,6,0.9922,0.332,1316
hour:8,12,230269,137378,593071,6.5,0.0385,13207,86.03,5.1,0.9869,0.102,712.4166666666666
hour:9,3,333506.5,333507,616921,9.7,0,21696,97.58,5.7,0.9871,0.093,494
day:2026-09-20,21,215033.8125,141776,616921,7.8,0.0183,12472,76.12,6.2,0.9851,0.202,775
